2025-09-30 17:27:40 | INFO | start checking the installed firewall
2025-09-30 17:27:40 | INFO | firewall isinstalled
2025-09-30 17:27:41 | INFO | internet connection check has begun
2025-09-30 17:27:41 | INFO | device is connected to the internet
2025-09-30 17:27:50 | INFO | internet connection check has begun
2025-09-30 17:27:50 | INFO | device is connected to the internet
2025-09-30 17:27:50 | INFO | start checking the installed firewall
2025-09-30 17:27:50 | INFO | firewall isinstalled
2025-09-30 17:27:59 | INFO | internet connection check has begun
2025-09-30 17:27:59 | INFO | device is connected to the internet
2025-09-30 17:27:59 | INFO | start checking the installed firewall
2025-09-30 17:27:59 | INFO | firewall isinstalled
2025-09-30 17:28:13 | INFO | internet connection check has begun
2025-09-30 17:28:13 | INFO | device is connected to the internet
2025-09-30 17:28:13 | INFO | start checking the installed firewall
2025-09-30 17:28:13 | INFO | firewall isinstalled
2025-09-30 19:14:01 | INFO | internet connection check has begun
2025-09-30 19:14:01 | INFO | device is connected to the internet
2025-09-30 19:14:04 | INFO | start checking the installed firewall
2025-09-30 19:14:04 | INFO | firewall isinstalled
2025-09-30 19:14:06 | INFO | check has begun
2025-09-30 19:14:06 | INFO | device is connected to the internet
2025-09-30 19:14:08 | INFO | internet connection check has begun
2025-09-30 19:14:08 | INFO | device is connected to the internet
2025-09-30 19:14:08 | INFO | start checking the installed firewall
2025-09-30 19:14:08 | INFO | firewall isinstalled
2025-09-30 19:14:09 | INFO | internet connection check has begun
2025-09-30 19:14:09 | INFO | device is connected to the internet
2025-09-30 19:14:09 | INFO | start checking the installed firewall
2025-09-30 19:14:09 | INFO | firewall isinstalled
2025-10-02 11:43:58 | INFO | internet connection check has begun
2025-10-02 11:43:59 | INFO | device is connected to the internet
2025-10-02 11:44:00 | INFO | start checking the installed firewall
2025-10-02 11:44:00 | INFO | firewall isinstalled
2025-10-02 11:44:01 | INFO | start checking firewall status
2025-10-02 11:45:17 | INFO | start checking the installed firewall
2025-10-02 11:45:17 | INFO | firewall isinstalled
2025-10-02 11:45:17 | INFO | start checking firewall status
2025-10-02 11:46:45 | INFO | start checking firewall status
2025-10-02 11:47:04 | INFO | start checking firewall status
2025-10-02 11:47:46 | INFO | start checking firewall status
2025-10-02 11:47:48 | INFO | start checking firewall status
2025-10-02 11:50:17 | INFO | start checking firewall status
2025-10-02 11:50:28 | INFO | start checking firewall status
2025-10-02 11:50:29 | INFO | start checking firewall status
2025-10-02 11:50:30 | INFO | start checking firewall status
2025-10-02 11:50:42 | INFO | start checking firewall status
2025-10-02 11:51:10 | INFO | start checking firewall status
2025-10-02 11:53:35 | INFO | start checking firewall status
2025-10-02 11:54:16 | INFO | start checking firewall status
2025-10-02 11:56:32 | INFO | start checking firewall status
2025-10-02 11:58:57 | INFO | start checking firewall status
2025-10-02 11:59:32 | INFO | start checking firewall status
2025-10-02 12:00:02 | INFO | start checking firewall status
2025-10-02 12:00:49 | INFO | start checking firewall status
2025-10-02 12:01:56 | INFO | start checking firewall status
2025-10-02 12:03:57 | INFO | start checking firewall status
2025-10-02 12:04:41 | INFO | start checking firewall status
2025-10-02 12:06:10 | INFO | start checking firewall status
2025-10-02 12:07:05 | INFO | start checking firewall status
2025-10-02 12:07:15 | INFO | start checking firewall status
2025-10-02 12:08:00 | INFO | start checking firewall status
2025-10-02 12:08:22 | INFO | start checking firewall status
2025-10-02 12:08:55 | INFO | start checking firewall status
2025-10-02 12:09:20 | INFO | start checking firewall status
2025-10-02 12:09:35 | INFO | start checking firewall status
2025-10-02 12:09:59 | INFO | start checking firewall status
2025-10-02 12:10:07 | INFO | start checking firewall status
2025-10-02 12:12:39 | INFO | start checking firewall status
2025-10-02 12:13:14 | INFO | start checking firewall status
2025-10-02 12:13:19 | INFO | internet connection check has begun
2025-10-02 12:13:20 | INFO | device is connected to the internet
2025-10-02 12:13:20 | INFO | start checking the installed firewall
2025-10-02 12:13:20 | INFO | firewall isinstalled
2025-10-02 12:13:46 | INFO | internet connection check has begun
2025-10-02 12:13:46 | INFO | device is connected to the internet
2025-10-02 12:13:46 | INFO | start checking the installed firewall
2025-10-02 12:13:46 | INFO | firewall isinstalled
2025-10-02 12:13:46 | INFO | start checking firewall status
2025-10-02 12:13:49 | INFO | internet connection check has begun
2025-10-02 12:13:49 | INFO | device is connected to the internet
2025-10-02 12:13:49 | INFO | start checking the installed firewall
2025-10-02 12:13:49 | INFO | firewall isinstalled
2025-10-02 12:13:49 | INFO | start checking firewall status
2025-10-02 12:14:01 | INFO | internet connection check has begun
2025-10-02 12:14:01 | INFO | device is connected to the internet
2025-10-02 12:14:03 | INFO | start checking the installed firewall
2025-10-02 12:14:03 | INFO | firewall isinstalled
2025-10-02 12:14:04 | INFO | start checking firewall status
2025-10-02 12:14:08 | INFO | internet connection check has begun
2025-10-02 12:14:08 | INFO | device is connected to the internet
2025-10-02 12:14:08 | INFO | start checking the installed firewall
2025-10-02 12:14:08 | INFO | firewall isinstalled
2025-10-02 12:14:08 | INFO | start checking firewall status
2025-10-02 12:14:11 | INFO | internet connection check has begun
2025-10-02 12:14:11 | INFO | device is connected to the internet
2025-10-02 12:14:11 | INFO | start checking the installed firewall
2025-10-02 12:14:11 | INFO | firewall isinstalled
2025-10-02 12:14:11 | INFO | start checking firewall status
2025-10-02 12:29:47 | INFO | start checking the installed antivirus
2025-10-02 12:29:47 | INFO | antivirus isinstalled
2025-10-02 12:30:06 | INFO | start checking the installed antivirus
2025-10-02 12:30:06 | INFO | antivirus isinstalled
2025-10-02 12:30:07 | INFO | internet connection check has begun
2025-10-02 12:30:07 | INFO | device is connected to the internet
2025-10-02 12:30:07 | INFO | start checking the installed firewall
2025-10-02 12:30:07 | INFO | firewall isinstalled
2025-10-02 12:30:08 | INFO | start checking firewall status
2025-10-02 12:30:44 | INFO | start checking the installed firewall
2025-10-02 12:30:44 | INFO | firewall isinstalled
2025-10-02 12:30:45 | INFO | start checking firewall status
2025-10-02 12:30:47 | INFO | internet connection check has begun
2025-10-02 12:30:47 | INFO | device is connected to the internet
2025-10-02 12:30:47 | INFO | start checking the installed firewall
2025-10-02 12:30:47 | INFO | firewall isinstalled
