№,ФИ,Гл,СУ,АС,ОО,СИ,СУв,ОД,СП,СР,СО,СИн,СПо,КА,ПС,ВО,ИП
1,Ю,27,9,37,18,16,7,32,17,38,43,11,21,7,6,9,7
2,Д,97,97,98,91,92,92,51,71,80,5,100,94,4,5,2,5
3,Ю,27,9,37,18,16,7,32,17,38,43,11,21,8,7,8,8
4,Д,49,45,16,27,29,17,51,17,38,97,20,69,6,6,5,6
5,Ю,85,25,77,40,71,66,51,71,26,28,20,43,5,4,3,5
6,Д,27,34,28,6,71,29,15,71,10,100,34,21,8,8,9,8
7,Ю,27,34,28,6,71,29,15,71,10,100,34,21,7,7,8,7
8,Д,80,45,70,53,92,48,51,71,60,43,100,4,4,5,2,5
9,Ю,85,34,97,18,92,81,7,100,10,28,100,43,3,4,2,4
10,Д,49,80,58,9,16,29,15,71,60,43,11,100,5,6,4,5
11,Ю,27,34,28,6,71,29,15,71,10,100,34,21,8,7,9,8
12,Д,97,80,97,40,100,92,32,90,38,43,100,84,3,4,1,4
13,Ю,93,87,100,91,92,81,80,90,100,2,80,94,4,5,2,5
14,Д,74,34,70,27,50,48,32,90,80,97,55,69,5,6,3,5
15,Ю,96,59,98,72,100,92,80,100,38,15,100,84,3,4,2,4
16,Д,55,25,86,27,29,29,32,71,26,43,80,69,6,6,5,6
17,Ю,55,25,58,40,2,17,32,17,80,28,20,43,6,7,6,6
18,Д,98,87,91,40,100,100,32,100,60,43,100,69,4,5,1,4
19,Ю,27,34,28,6,71,29,15,71,10,100,34,21,7,8,9,8
20,Д,80,34,86,40,92,66,32,71,38,15,100,69,4,5,3,5
21,Ю,69,71,86,3,5,48,7,51,92,5,3,84,5,6,4,5
22,Д,27,34,28,6,71,29,15,71,10,100,34,21,8,7,8,7
23,Ю,63,59,70,9,71,48,4,71,80,82,100,69,5,5,4,5
24,Д,74,45,70,1,5,66,4,71,26,43,1,99,4,6,3,5
25,Ю,38,59,16,1,29,29,1,17,38,82,20,69,7,7,8,7
26,Д,96,59,98,72,100,92,80,100,38,15,100,84,3,4,2,4
27,Ю,38,9,22,27,29,17,15,17,38,82,55,21,8,8,9,8
28,Д,97,91,100,53,92,81,51,90,60,15,100,99,4,5,1,4
29,Ю,93,71,98,53,29,92,32,90,60,15,55,84,3,4,2,4
30,Д,96,59,98,72,100,92,80,100,38,15,100,84,4,5,2,5
31,Ю,93,80,91,18,92,81,15,71,60,28,100,84,4,5,2,5
32,Д,74,59,91,53,71,17,32,90,60,5,80,84,5,6,3,5
33,Ю,88,71,47,53,100,66,80,71,80,61,80,69,4,5,3,5
34,Д,38,9,22,27,29,17,15,17,38,82,55,21,7,8,9,8
35,Ю,63,45,77,40,50,17,32,90,80,28,55,43,5,6,4,5
36,Д,32,25,22,18,16,7,32,8,80,43,11,21,8,7,8,7
37,Ю,32,25,22,18,16,7,32,8,80,43,11,21,7,8,9,8
38,Д,91,85,94,78,88,89,65,92,75,12,95,88,3,4,2,4
39,Ю,45,38,41,29,35,22,48,33,52,67,39,44,7,7,8,7
40,Д,82,76,89,61,79,73,58,85,68,18,81,77,4,5,2,5
41,Ю,31,28,35,19,24,15,41,26,45,78,33,29,8,8,9,8
42,Д,77,68,81,55,72,64,49,79,71,25,74,70,4,5,3,5
43,Ю,52,47,59,38,46,31,55,48,63,58,51,56,6,6,5,6
44,Д,29,21,33,16,27,18,39,24,41,85,31,26,8,9,10,9
45,Ю,89,82,93,71,86,79,62,88,77,14,91,85,3,4,2,4
46,Д,41,36,48,31,39,25,52,37,56,71,43,40,7,7,8,7
47,Ю,95,88,96,83,91,87,71,94,82,9,97,92,3,4,1,4
48,Д,36,29,42,23,31,19,45,28,49,76,37,34,8,8,9,8
49,Ю,67,58,73,49,64,55,51,69,74,38,66,63,5,6,4,5
50,Д,84,77,88,64,81,74,59,86,73,21,83,79,4,5,3,5
51,Ю,48,41,54,35,43,28,49,42,59,64,47,51,6,7,6,6
52,Д,92,86,95,76,89,84,67,91,79,13,94,89,3,4,2,4
53,Ю,33,26,38,21,29,17,43,27,46,81,35,31,8,8,9,8
54,Ю,79,71,84,58,76,68,54,82,70,23,78,74,4,5,3,5
55,Ю,56,49,62,41,51,36,57,53,66,55,54,59,6,6,5,6
56,Ю,25,19,31,14,23,13,37,21,39,89,29,24,9,9,10,9
57,Ю,87,79,91,69,84,77,61,87,76,16,89,83,4,5,2,4
58,Ю,44,39,51,33,41,27,54,39,58,69,45,42,7,7,7,7
59,Ю,94,87,97,81,90,86,69,93,81,11,96,91,3,4,1,4
60,Ю,39,32,45,26,34,21,47,31,51,74,41,37,7,8,8,7
